매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,시간대_생활인구_수,평일_생활인구_평균,주말_생활인구_평균,집객시설_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
165022.7864,2021,발달상권,2120222,삼성역,2,3,52,746,508,43324,8,0,2,3,37,18,8,31,193917,,,88,,,,,,,,,749414,826076.0,132341.0,138315.0,138013.0,145769.0,138005.0,73603.0,60027.0,3.0,15.0,1.0,0.0,356336.0,77487.0,161679.0,222821.0,176316.0,103523.0,84251.0,2167855.0,12.0,1.0
88270.46377,2021,발달상권,2120223,휘문고교사거리,2,3,6,309,111,9166,9,0,0,9,18,20,2,34,46103,,,9,,,,,,,,,142707,202594.0,32148.0,33266.0,33340.0,34863.0,32879.0,19477.0,16623.0,0.0,0.0,0.0,0.0,133569.0,31878.0,32701.0,46653.0,43287.0,26137.0,21938.0,0.0,5.0,0.0
646724.942,2021,발달상권,2120224,수서역,2,3,21,594,437,12418,0,0,0,0,0,0,0,0,41437,,,40,,,,,,,,,368539,188452.0,28799.0,29103.0,29079.0,29603.0,29709.0,22148.0,20010.0,0.0,3.0,0.0,0.0,60183.0,18988.0,20700.0,30536.0,32102.0,28331.0,57793.0,1358271.0,6.0,1.0
40536.74275,2021,전통시장,2130303,영동전통시장,2,3,3,1142,728,242,19,0,130,72,19,11,0,2,70684,,,5,,,,,,,,,0,365491.0,53088.0,54013.0,54568.0,56306.0,56197.0,49007.0,42311.0,0.0,0.0,0.0,0.0,39097.0,16732.0,81976.0,93065.0,71352.0,46399.0,55967.0,0.0,0.0,0.0
121380.3575,2021,전통시장,2130310,강남개포시장,2,3,9,112,83,298,0,0,0,0,0,0,0,0,34744,,,30,,,,,,,,,49141,186410.0,26143.0,26248.0,26991.0,27021.0,27873.0,27114.0,25021.0,0.0,3.0,0.0,0.0,25363.0,41693.0,19137.0,19683.0,34442.0,29309.0,42149.0,174155.0,2.0,1.0
361789.7826,2021,관광특구,1001496,강남 마이스 관광특구,2,3,12,29,18,15904,0,0,0,0,0,0,0,0,17115,,,34,,,,,,,,,228264,84144.0,12423.0,13019.0,13178.0,13992.0,13701.0,9591.0,8244.0,1.0,8.0,1.0,0.0,237891.0,5308.0,17883.0,23311.0,18730.0,10423.0,8490.0,0.0,5.0,0.0
206975.5756,2021,발달상권,2120185,논현역,2,4,48,3768,2428,12764,53,3,259,407,162,59,24,77,516517,,,105,,,,,,,,,88427,2557984.0,377536.0,398458.0,400329.0,399859.0,393794.0,312506.0,275501.0,1.0,7.0,0.0,0.0,321182.0,140997.0,536489.0,664737.0,507441.0,334794.0,373525.0,1085780.0,3.0,1.0
172848.593,2021,발달상권,2120186,가로수길,2,4,27,3152,1777,6518,62,0,154,140,109,74,49,97,357262,,,42,,,,,,,,,126731,2126297.0,301028.0,315004.0,315835.0,320314.0,328430.0,295681.0,250006.0,2.0,4.0,0.0,0.0,256687.0,227188.0,501522.0,491769.0,378572.0,235281.0,291964.0,0.0,2.0,0.0
233059.534,2021,발달상권,2120187,신논현역,2,4,72,5512,3959,13076,62,2,347,225,71,46,10,114,532769,,,154,,,,,,,,,54969,2806794.0,399783.0,417864.0,420156.0,421821.0,431679.0,389288.0,326202.0,3.0,7.0,0.0,0.0,382392.0,203030.0,750368.0,741260.0,507323.0,295753.0,309059.0,1284614.0,3.0,1.0
163873.8137,2021,발달상권,2120188,압구정역,2,4,35,1129,598,8579,20,1,53,30,14,8,17,98,342338,,,213,,,,,,,,,416793,1860538.0,267543.0,288705.0,284107.0,287171.0,293373.0,243642.0,195998.0,0.0,14.0,1.0,0.0,251745.0,261289.0,319166.0,385918.0,356046.0,246760.0,291357.0,1499715.0,6.0,1.0
297074.1637,2021,발달상권,2120190,강남을지병원,2,4,33,2274,1334,11703,46,0,139,238,38,36,33,39,304301,,,72,,,,,,,,,406861,1516335.0,221711.0,242188.0,242413.0,242165.0,235402.0,178825.0,153631.0,0.0,3.0,0.0,0.0,295195.0,117306.0,316423.0,404834.0,307375.0,175799.0,194598.0,0.0,6.0,0.0
267701.35,2021,발달상권,2120191,학동역,2,4,51,4394,2961,13862,84,8,477,648,67,27,23,161,357755,,,65,,,,,,,,,327111,1672410.0,249787.0,267727.0,268270.0,268188.0,256582.0,190040.0,171815.0,4.0,6.0,0.0,0.0,366286.0,100285.0,375670.0,446249.0,331738.0,202666.0,215802.0,1429035.0,6.0,1.0
245706.3166,2021,발달상권,2120192,뱅뱅사거리,2,4,63,6735,4796,27462,47,9,360,567,59,86,37,314,366907,,,87,,,,,,,,,278955,1693277.0,255612.0,273969.0,274921.0,273459.0,261305.0,183197.0,170814.0,2.0,13.0,0.0,1.0,317599.0,136474.0,328370.0,456115.0,352113.0,212665.0,207539.0,0.0,3.0,0.0
