매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
43051.22344,2020,골목상권,2110995,봉은사역 4번,1,2,2888,1115,5085,156621,0,0,0,0,122756,1,0,0,85648.2,86189.5,893,2862.544122,0.081462413,0.24438724,0.570236893,1.760734072,,,,,,,,,,,,,,,,,,,,,,,,,
49571.69963,2020,골목상권,2110996,대치2동주민센터,1,2,1545,729,1959,161196,1,0,0,0,112840,0,0,0,106971.2,102566,727,2862.193245,0.088621056,0.265863169,0.354484225,1.267961165,,,,,,,,,,,,,,,,,,,,,,,,,
198618.1424,2020,골목상권,2110997,대청초등학교,1,2,7401,3439,1724,888592,0,2,0,6,236963,8370,0,0,387679.2,372152.5,739,2861.356174,0.548608855,0.970615666,2.152234737,0.232941494,,,,,,,,,,,,,,,,,,,,,,,,,
222434.5733,2020,골목상권,2110999,윗방죽마을공원,1,2,3125,2339,268,22007,0,1,0,0,239796,2608,0,0,12023.4,13420,17,2861.135581,0.166808454,0.250212681,0.166808454,0.08576,,,,,,,,,,,,,,,,,,,,,,,,,
0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,2,458,199,39,3589,0,0,0,0,52892,637,0,0,9000.4,8607,0,2861.375121,0.189064509,0.567193526,0.945322544,0.085152838,,,,,,,,,,,,,,,,,,,,,,,,,
0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,2,317,0,317,0,0,0,0,0,59240,505,0,0,30,102,0,2862.191604,0.168804862,0.506414585,0.506414585,1,,,,,,,,,,,,,,,,,,,,,,,,,
176096.4475,2020,골목상권,2110949,한남IC,1,3,618,300,1683,68563,0,0,0,0,62126,0,0,0,53751.8,45365,112,2862.191604,0,0.965779223,0.321926408,2.723300971,,,,,,,,,,,,,,,,,,,,,,,,,
126471.4457,2020,골목상권,2110951,신사은행나무공원,1,3,1039,580,273,132250,0,0,0,1,29000,0,0,0,88243,72550,161,2862.389435,0,1.034482759,0.689655172,0.262752647,,,,,,,,,,,,,,,,,,,,,,,,,
149246.779,2020,골목상권,2110952,논현목련공원,1,3,879,583,117,63079,0,0,0,0,21629,0,0,0,31289.2,31007,257,2863.109414,0,1.387026677,0.924684451,0.133105802,,,,,,,,,,,,,,,,,,,,,,,,,
31144.86594,2020,골목상권,2110954,국기원,1,3,497,335,636,49829,0,0,0,2,39798,0,0,0,68773.2,63416,34,2863.359252,0,0.753806724,0.753806724,1.279678068,,,,,,,,,,,,,,,,,,,,,,,,,
